STT,Câu hỏi,1,2,3,4,Đáp án
1664,"Theo quy định tại Quyết định số 515/QĐ-HĐTV-HSX ngày 31/07/2015, mức cho vay không có bảo đảm bằng tài sản đối với cá nhân, hộ gia đình đình đầu tư cây công nghiệp, cây ăn quả lâu năm tối đa là bao nhiêu?",A. 200 triệu đồng.,B. 100 triệu đồng.,C. 150 triệu đồng.,D. 300 triệu đồng,1
1665,"Theo quy định tại Quyết định số 599/QĐ-NHNo-TCKT ngày 19/4/2017, Tổng Giám đốc ban hành mẫu chứng từ cơ bản áp dụng thống nhất toàn hệ thống gồm có",Mẫu chứng từ kế toán bắt buộc in sẵn,"Mẫu chứng từ kế toán bắt buộc in sẵn, mẫu chứng từ kế toán hướng dẫn","Mẫu chứng từ kế toán bắt buộc in sẵn, mẫu chứng từ kế toán hướng dẫn, mẫu chứng từ kế toán bắt buộc in từ IPCAS","Mẫu chứng từ kế toán hướng dẫn, mẫu chứng từ kế toán bắt buộc in từ IPCAS",3
1666,Theo quy định tại Quyết định số 838/QĐ-HĐTV-TD thì tài sản bảo đảm chính thức là:,"A. Là tài sản bảo đảm đáp ứng điều kiện, thủ tục về biện pháp bảo đảm theo quy định của Agribank và thuộc điều kiện cấp tín dụng, được thể hiện rõ trong phê duyệt cấp tín dụng.",B. Là tài sản hiện có.,C. Là tài sản gắn liền với đất.,D. Là tài sản hình thành trong tương lai.,1
1667,Theo quy định tại Quyết định số 838/QĐ-HĐTV-TD thì tài sản hình thành trong tương lai gồm những loại tài sản nào?,A. Tài sản chưa hình thành tại thời điểm giao kết giao dịch bảo đảm.,B. Tài sản đã hình thành nhưng chủ thể xác lập quyền sở hữu tài sản sau thời điểm xác lập giao dịch bảo đảm.,C. Tài sản đã hình thành tại thời điểm giao kết giao dịch bảo đảm.,D. Cả a và b.,4
1668,"Theo quy định tại Quyết định số 838/QĐ-HĐTV-TD, tổng giá trị tài sản tạo lợi thế quyền sử dụng đất (bao gồm: nhà ở khu vực nông thôn không bắt buộc xin phép xây dựng; các tài sản khác gắn liền với đất phục vụ sản xuất) tối đa:",A. 300 triệu đồng cho một tài sản bảo đảm.,B. 500 triệu đồng cho một tài sản bảo đảm.,C. 01 tỷ đồng cho một tài sản bảo đảm.,D. Không quy định.,2
1669,"Theo quy định tại Thông tư sổ 21/2013/TT-NHNN ngày 09/9/2013 của Ngân hàng Nhà nước Việt Nam, Chi nhánh là:","Đơn vị phụ thuộc ngân hàng thương mại, hạch toán phụ thuộc, không có con dấu, có nhiệm vụ thực hiện một hoặc một số chức năng của ngân hàng thương mại theo quy định của pháp luật.","Đơn vị phụ thuộc ngân hàng thương mại, hạch toán phụ thuộc, có con dấu, có nhiệm vụ thực hiện một hoặc một số chức năng cùa ngân hàng thương mại theo quy định của pháp luật.","Đơn vị phụ thuộc ngân hàng thương mại, hạch toán độc lập, có con dấu, có nhiệm vụ thực hiện một hoặc một số chức năng của ngân hàng thương mại theo quy định của pháp luật.","Đơn vị phụ thuộc ngân hàng thương mại, hạch toán phụ thuộc, có con dấu, có nhiệm vụ thực hiện toàn bộ chức năng của ngân hàng thương mại theo quy định của pháp luật.",2
1670,"Theo quy định tại Thông tư số 21/2013/TT-NHNN ngày 09/9/2013 cùa Ngân hàng Nhà nước Việt Nam, mạng lưới hoạt động của Ngân hàng thương mại bao gồm:","Chi nhánh, phòng giao dịch, văn phòng đại diện, đơn vị sự nghiệp.","Chi nhánh, phòng giao dịch, điểm giao dịch, văn phòng đại diện, đơn vị sự nghiệp ờ trong nước; chi nhánh, văn phòng đại diện, ngân hàng 100% vốn ờ nước ngoài theo quy định của pháp luật.","Chi nhánh, phòng giao dịch, văn phòng đại diện, đơn vị sự nghiệp ở trong nước; chi nhánh, văn phòng đại diện, ngân hàng 100% vốn ờ nước ngoài theo quy định của pháp luật.","Chi nhánh, phòng giao dịch, văn phòng đại diện, đơn vị sự nghiệp ở trong nước theo quy định cùa pháp luật.",3
1671,"Theo quy định tại Thông tư số 21/2013HT-NHNN ngày 09/9/2013 của Ngân hàng Nhà nước Việt Nam, Phòng giao dịch là:","Đơn vị phụ thuộc, được quản lý bởi ngân hàng thương mại, hạch toán báo sổ, có con dấu, có địa điểm đặt trụ sở trên địa bàn tỉnh, thành phố trực thuộc Trung ương nơi đặt trụ sở chi nhánh quản lý.","Đơn vị phụ thuộc ngân hàng thương mại, được quản lý bởi một chi nhánh ở trong nước của ngân hàng thương mại, hạch toán phụ thuộc, có con dấu, có địa điểm đặt trụ sở trên địa bàn tỉnh, thành phố trực thuộc Trung ương nơi đặt trụ sở chi nhánh quản lý.","Đơn vị phụ thuộc ngân hàng thương mại, được quản lý bởi một chi nhánh ở trong nước của ngân hàng thương mại, hạch toán báo sổ, có con dấu, có địa điềm đặt trụ sở trên địa bàn tỉnh, thành phố trực thuộc Trung ương.","Đơn vị phụ thuộc ngân hàng thương mại, được quản lý bời một chi nhánh ở trong nước của ngân hàng thương mại, hạch toán báo sổ, có con dấu, có địa điểm đặt trụ sở trên địa bàn tinh, thành phố trực thuộc Trung ương nơi đặt trụ sở chi nhánh quản lý.",4
1672,"Theo quy định tại văn bản số 1019/QĐ-NHNo-TCKT ngày 28/4/2023, danh mục mẫu sổ tiết kiệm Agribank đang sử dụng bao gồm?",Sổ tiết kiệm không kỳ hạn; sổ tiết kiệm có kỳ hạn,Sổ tiết kiệm; sổ tiết kiệm có kỳ hạn,Sổ tiết kiệm không kỳ hạn; sổ tiết kiệm có kỳ hạn; số tiết kiệm gửi góp,Sổ tiết kiệm không kỳ hạn; sổ tiết kiệm có kỳ hạn; sổ tiết kiệm rút gốc từng phần,2
1673,"Theo quy định tại Văn bản số 7781/NHNo-TTTT ngày 17/7/2023, thời điểm bắt đầu gửi lệnh thanh toán ngoại tệ qua hệ thống TTĐTLNH là?",09h00,08h00,08h30,Không có đáp án đúng,1
1674,"Theo quy định tại Văn bản số 7781/NHNo-TTTT ngày 17/7/2023, thời điểm ngừng gửi lệnh thanh toán ngoại tệ qua hệ thống TTLNH vào ngày làm việc bình thường trong tháng là?",16h55,17h00,16h20,Không có đáp án đúng,1
1675,"Theo quy định về chế độ báo cáo giao dịch có giá trị lớn phải báo cáo, trường hợp khách hàng nộp ngoại tệ tiền mặt có giá trị lớn để mua đồng Việt Nam hoặc nộp tiền mặt bằng đồng Việt Nam có giá trị lớn để mua ngoại tệ tiền mặt thì báo cáo loại giao dịch nào?",Chỉ báo cáo giao dịch mua đồng Việt Nam,Chỉ báo cáo giao dịch mua ngoại tệ,Chỉ báo cáo giao dịch nộp tiền mặt,Chỉ báo cáo giao dịch nôp ngoại tệ,3
1676,"Theo quy định về địa bàn cho vay, trong trường hợp có nhiều Chi nhánh loại I cùng đóng tại địa bàn hành chính cấp tỉnh (trừ Thành phố trực thuộc Trung ương), Hội sở Chi nhánh loại I đóng tại tỉnh đó được cho vay đối tượng nào sau đây?",A. Chỉ được cho vay cá nhân cư trú tại địa bàn cấp huyện nơi Chi nhánh loại I đóng trụ sở.,B. Được cho vay tất cả cá nhân cư trú tại địa bàn hành chính cấp tỉnh.,"C. Được cho vay tất cả pháp nhân có trụ sở hoạt động, cá nhân cư trú tại địa bàn hành chính cấp tỉnh.",D. Chỉ được cho vay pháp nhân có trụ sở hoạt động tại địa bàn cấp huyện nơi Chi nhánh loại I đóng trụ sở.,1
1677,"Theo quy định về giao dịch bảo đảm cấp tín dụng trong hệ thống Agribank, thời điểm giao dịch bảo đảm có giá trị pháp lý đối với người thứ ba có hiệu lực từ khi:",A. Chuyển giao tài sản cho Agribank,B. Công chứng hoặc chứng thực.,C. Đăng ký giao dịch bảo đảm.,D. Ký kết hợp đồng bảo đảm.,3
1678,"Theo quy định về hồ sơ và hạn mức của các mục đích chuyển tiền ngoại tệ cá nhân ra nước ngoài qua SWIFT, nhận định nào sau đây là đúng?",Chi nhánh ở Việt Nam tuân thủ theo quy định hiện hành của Agribank về hồ sơ và hạn mức của các mục đích chuyển tiền ngoại tệ cá nhân ra nước ngoài,Chi nhánh ở nước ngoài tuân thủ quy định pháp luật có liên quan về hồ sơ và hạn mức của các mục đích chuyển tiền chuyển tiền cá nhân ra nước ngoài của quốc gia nơi chi nhánh đặt trụ sở,Đáp án 1 và 2 đều đúng.,Đáp án 1 và 2 đều sai,3
1679,"Theo quy định về Sản phẩm ""Tiền gửi tích lũy"" của Agribank, số tiền gửi mỗi lần tối thiểu là bao nhiêu?","10.000.000 đồng, 500 USD","15.000.000 đồng, 1.000 USD","20.000.000 đồng, 1.000 USD","30.000.000 đồng, 1.500 USD",3
1680,"Theo quy định về tiền gửi tiết kiệm của Agribank, người giám hộ đương nhiên của người chưa thành niên không còn cha mẹ/không xác định được cha mẹ và không có anh chị ruột được xác định theo thứ tự?","Ông nội, bà nội, ông ngoại, bà ngoại","Ông nội, bà nội, ông ngoại, bà ngoại, chú ruột, cậu ruột","Bác ruột, chú ruột, cô ruột, dì ruột","Bác ruột, chú ruột, cậu ruột, cô ruột, dì ruột",1
1681,"Theo quy định, quy trình bảo đảm cấp tín dụng ban hành kèm theo Quyết định số 177/QĐ-NHNo-TD thì Agribank nơi cấp tín dụng kiểm tra đối với Quyền sử dụng đất, quyền sử dụng đất và tài sản gắn liền với đất, TSBĐ gắn liền với đất, tối thiểu:",A. 01 tháng/lần.,B. 03 tháng/lần.,C. 12 tháng/lần.,D. Không có quy định.,3
1682,"Theo quy định, quy trình cho vay đối với khách hàng thì Giải ngân vốn đối ứng theo nguyên tắc:",A. Mọi trường hợp đều phải giải ngân vốn đối ứng trước khi giải ngân vốn vay.,"B. Trường hợp khách hàng đã giải ngân vốn đối ứng bằng tỷ lệ tối thiểu so với quy định, việc giải ngân vốn vay và phần còn lại vốn đối ứng do Giám đốc Agribank nơi cho vay quyết định.","C. Phải giải ngân vốn đối ứng là giá trị ngày công tự làm, tài sản khác của khách hàng cá nhân tham gia trước khi giải ngân vốn vay.",D. Giải ngân đồng thời với tỷ lệ bằng nhau giữa vốn đối ứng và vốn vay.,2
1683,"Theo quy định, quy trình cho vay đối với khách hàng trong hệ thống Agribank, các hình thức đối chiếu xác nhận nợ vay:","A. Đối chiếu trực tiếp, bằng thư gửi qua bưu điện, thư điện tử.",B. Đối chiếu trực tiếp.,C. Đối chiếu trực gián tiếp.,"D. Đối chiếu bằng Thư qua bưu điện để bảo đảm bí mật, khách quan.",1
1684,"Theo quy định, quy trình cho vay đối với khách hàng, Agribank nơi cho vay thông báo gửi khách hàng khi chuyển nợ quá hạn tối thiểu phải có:","A. Số dư nợ gốc quá hạn, thời điểm chuyển quá hạn, lãi suất áp dụng đối với dư nợ gốc quá hạn, lãi chậm trả và yêu cầu khách hàng thực hiện các biện pháp trả nợ.","B. Số dư nợ gốc quá hạn, lãi suất áp dụng đối với dư nợ gốc quá hạn.",C. Lãi suất áp dụng đối với dư nợ gốc quá hạn và yêu cầu khách hàng thực hiện các biện pháp trả nợ.,"D. Thời điểm chuyển quá hạn, lãi suất áp dụng đối với dư nợ gốc quá hạn, lãi chậm trả và các biện pháp sẽ áp dụng để thu hồi nợ cho vay.",1
1685,"Theo quy định, quy trình cho vay đối với khách hàng, khi nhận thế chấp/cầm cố tài sản bảo đảm, Giao dịch viên bàn giao giấy chứng nhận quyền sử dụng đất, giấy tờ sở hữu tài sản bảo đảm:",A. Bàn giao cho cán bộ kho quỹ nhập kho theo quy định.,B. Bàn giao cho cán bộ kho quỹ.,C. Bàn giao cho kiểm soát viên.,D. Bàn giao cho Người quản lý nợ cho vay.,1
1686,"Theo quy định, quy trình cho vay đối với khách hàng, khi thực hiện tạm ngừng cho vay, chấm dứt cho vay, thu hồi nợ trước hạn Agribank nơi cho vay thực hiện:","A. Thông báo cho khách hàng lý do, thời hạn thu hồi trước hạn.",B. Không cần thông báo cho khách hàng.,C. Theo quyết định của Giám đốc Agribank nơi cho vay.,D. Thông báo cho khách hàng lý do và yêu cầu khách hàng thực hiện các biện pháp trả nợ.,1
1687,"Theo quy định, quy trình cho vay đối với khách hàng, người đôn đốc khách hàng trả nợ là:",A. Người thẩm định.,B. Người thẩm định lại.,C. Người quản lý nợ cho vay.,D. Giao dịch viên.,3
1688,"Theo quy định, quy trình cho vay đối với khách hàng, nội dung kiểm tra sử dụng vốn vay của Agribank nơi cho vay:","A. Việc sử dụng vốn vay theo mục đích đã ghi trong HĐTD và giấy nhận nợ như chứng từ chuyển tiền, tài liệu về cung cấp hàng hóa, dịch vụ (hợp đồng kinh tế, hóa đơn mua bán hàng hóa và cung ứng dịch vụ, sổ kho, phiếu nhập kho), về kho hàng hóa.",B. Việc sử dụng vốn vay theo mục đích đã ghi trong HĐTD.,"C. Việc sử dụng vốn vay theo mục đích đã ghi trong HĐTD và giấy nhận nợ, phương án sử dụng vốn vay.","D. Việc sử dụng vốn vay như chứng từ chuyển tiền, tài liệu về cung cấp hàng hóa, dịch vụ, dư nợ, tình hình tài chính, đánh giá tiến độ và khả năng trả nợ.",1
1689,"Theo quy định, quy trình giao dịch bảo đảm cấp tín dụng ban thành kèm theo Quyết định số 177/QĐ-NHNo-TD các trường hợp được giải chấp tài sản bảo đảm bao gồm:",A. Khách hàng và Bên bảo đảm đã thực hiện nghĩa vụ (bao gồm toàn bộ hoặc theo phần).,B. TSBĐ được xử lý theo quy định.,"C. Thay thế, rút bớt TSBĐ.",D. Tất cả đáp án trên.,4
1690,"Theo quy định, quy trình giao dịch bảo đảm cấp tín dụng ban thành kèm theo Quyết định số 177/QĐ-NHNo-TD thì Agribank nơi cấp tín dụng áp dụng một/một số biện pháp xử lý trong trường hợp giá trị tài sản bảo bị giảm sút để kiểm soát, hạn chế rủi ro như sau:","A. Tạm ngừng giải ngân nếu còn hạn mức cấp tín dụng; Thỏa thuận với khách hàng tăng mức trả nợ cho các kỳ hạn nợ; Thu hồi nợ trước hạn; XLTSBĐ nếu TSBĐ là hàng hóa, chứng khoán; Các biện pháp xử lý khác.",B. Thỏa thuận với khách hàng giảm mức trả nợ cho các kỳ hạn nợ.,C. Tạm ngừng giải ngân nếu còn hạn mức cấp tín dụng và các biện pháp xử lý khác;,D. Thu hồi nợ trước hạn.,1
1691,"Theo quy định, quy trình giao dịch bảo đảm cấp tín dụng ban thành kèm theo Quyết định số 177/QĐ-NHNo-TD thì thời điểm xử lý tài sản bảo đảm là quyền đòi nợ được thực hiện trước ngày đến hạn của khoản phải thu dùng để đảm bảo:",A. Ít nhất bảy (07) ngày làm việc.,B. Ít nhất năm (05) ngày làm việc.,C. Ít nhất ba (03) ngày làm việc.,D. Không có quy định.,1
1692,"Theo quy định, quy trình giao dịch bảo đảm cấp tín dụng ban thành kèm theo Quyết định số 177/QĐ-NHNo-TD thì việc nhận tài sản bảo đảm thay thế nghĩa vụ trả nợ phải được:",A. Trụ sở chính phê duyệt.,B. Chi nhánh loại I phê duyệt.,C. Chi nhánh nơi cho vay phê duyệt.,B. Không quy định.,1
1693,"Theo quy định, quy trình giao dịch bảo đảm cấp tín dụng ban thành kèm theo Quyết định số 177/QĐ-NHNo-TD, Bên bảo đảm cam kết với Agribank bổ sung, thay thế TSBĐ khác, ủy quyền cho Agribank nơi cấp tín dụng được quyền bán cổ phiếu hoặc thu hồi nợ trước hạn khi xảy ra các trường hợp sau:",A. Giá cổ phiếu giảm còn 70% giá trị TSBĐ khi cấp tín dụng.,B. Cổ phiếu niêm yết bị đưa vào diện kiểm soát.,C. Cổ phiếu bị huỷ bỏ niêm yết theo quy định của pháp luật.,D. Tất cả đáp án trên.,4
1694,"Theo quy định, quy trình giao dịch bảo đảm cấp tín dụng ban thành kèm theo Quyết định số 177/QĐ-NHNo-TD, đối với tài sản bảo đảm hình thành trong tương lai khi đã hoàn thành, Agribank nơi cấp tín dụng phải:",A. Không phải làm gì.,B. Ký kết bổ sung hợp đồng bảo đảm và đăng ký thay đổi thế chấp.,C. Ký kết hợp đồng mới.,D. Giải chấp tài sản.,2
1695,"Theo quy định, quy trình giao dịch bảo đảm cấp tín dụng ban thành kèm theo Quyết định số 177/QĐ-NHNo-TD, đối với tài sản bảo đảm là hàng hóa trong kho, bãi tại thời điểm nhận tài sản bảo đảm thì:",A. Agribank thuê một tổ chức thẩm định giá để thẩm định số lượng và giá trị hàng hóa.,B. Khách hàng tự định giá.,C. Agribank nơi cấp tín dụng thỏa thuận với khách hàng thuê một tổ chức thẩm định giá hoặc kiểm toán độc lập để thẩm định/kiểm toán số lượng và giá trị hàng hóa.,D. Agribank nơi cấp tín dụng tự định giá.,3
1696,"Theo quy định, quy trình giao dịch bảo đảm cấp tín dụng ban thành kèm theo Quyết định số 177/QĐ-NHNo-TD, tài sản bảo đảm là hàng hóa luân chuyển trong quá trình sản xuất kinh doanh chỉ được áp dụng làm tài sản bảo đảm cho:",A. Khoản vay ngắn hạn của chính khách hàng.,"B. Khoản vay trung, dài hạn của chính khách hàng.",C. Khoản vay bảo đảm cho người khác.,D. Tất cả các khoản vay của khách hàng.,1
1697,"Theo quy định, quy trình giao dịch bảo đảm cấp tín dụng ban thành kèm theo Quyết định số 177/QĐ-NHNo-TD, tài sản bảo đảm là hàng hóa trong kho, bãi bao gồm:","A. Nguyên liệu, vật liệu của khách hàng.","B. Nguyên liệu, vật liệu, hàng hóa, sản phẩm của khách hàng.","C. Nguyên liệu, vật liệu, hàng hóa, sản phẩm trong kho/bãi của khách hàng và/hoặc kho/bãi đi thuê của bên thứ 3.","D. Vật liệu, hàng hóa của bên thứ 3.",3
1698,"Theo quy định, quy trình giao dịch bảo đảm cấp tín dụng ban thành kèm theo Quyết định số 177/QĐ-NHNo-TD, tài sản bảo đảm là quyền đòi nợ chỉ được áp dụng làm tài sản bảo đảm cho:","A. Khoản vay ngắn hạn để bổ sung vốn lưu động cho khách hàng có Dự án đầu tư đã được Agribank tài trợ vốn trung, dài hạn.",B. Khoản dài hạn của khách hàng.,C. Khoản vay của người khác.,D. Không quy định.,1
1699,"Theo quy định, quy trình giao dịch bảo đảm cấp tín dụng ban thành kèm theo Quyết định số 177/QĐ-NHNo-TD, trong thời gian chờ xử lý tài sản bảo đảm, Agribank nơi cấp tín dụng:","A. Được khai thác hoặc cho phép bên bảo đảm hoặc ủy quyền cho người thứ ba khai thác, sử dụng tài sản bảo đảm theo đúng tính năng và công dụng của tài sản.","B. Việc cho phép, ủy quyền hoặc xử lý hoa lợi, lợi tức phát sinh từ việc khai thác, sử dụng TSBĐ phải được lập thành văn bản.",C. Không được khai thác hoặc sử dụng tài sản bảo đảm.,D. Cả a và b.,4
1700,"Theo quy định, quy trình giao dịch bảo đảm cấp tín dụng ban thành kèm theo Quyết định số 177/QĐ-NHNo-TD, việc đăng ký thông tin, hạch toán giá trị tài sản bảo đảm được thực hiện:",A. Trước khi thực hiện thủ tục ký kết hợp đồng bảo đảm.,"B. Sau khi hoàn tất thủ tục ký kết hợp đồng bảo đảm, đăng ký biện pháp bảo đảm (trường hợp phải đăng ký).",C. Khi khách hàng đề nghị.,D. Không quy định.,2
1701,"Theo quy định, quy trình giao dịch bảo đảm cấp tín dụng, đối với tài sản bảo đảm là quyền đòi nợ thì hồ sơ tài liệu chứng minh bao gồm:",A. Hợp đồng kinh tế phát sinh quyền đòi nợ;,"B. Các chứng từ chứng minh thực hiện hợp đồng: phiếu giao nhận hàng hóa, hóa đơn bán hàng, biên bản nghiệm thu, biên bản thanh lý hợp đồng;","C. Biên bản xác định, đối chiếu công nợ và cam kết của 3 bên (Bên có nghĩa vụ nợ, khách hàng và Agribank nơi cấp tín dụng);",D. Tất cả các đáp án trên.,4
1702,"Theo Quyết định 1403/QĐ-NHNo-TTKH ngày 09/7/2018, khi xử lý thoái hối, trường hợp khách hàng không yêu cầu tiếp tục chuyển, chi nhánh hoàn trả tiền theo loại tiền nào sau đây?",A. Theo loại tiền gốc ban đầu của Người chuyển tiền.,C. Chỉ hoàn trả bằng đồng VND.,B. Chỉ hoàn trả bằng đồng USD.,D. Theo yêu cầu của khách hàng.,1
1703,"Theo Quyết định 1612/QĐ-NHNo-TTKH ngày 30/7/2018, đối với chuyển tiền cho mục đích định cư ở nước ngoài, hạn mức chuyển tiền của khách hàng là bao nhiêu?",A. Theo đề nghị của khách hàng nhưng không vượt quá số tiền theo giấy tờ chứng minh nguồn gốc của số tiền chuyển.,B. 300.000 USD.,C. Theo Giấy tờ chứng minh nguồn gốc của số tiền chuyển tiền.,D. Theo đề nghị của khách hàng.,1
1704,"Theo Quyết định 1612/QĐ-NHNo-TTKH ngày 30/7/2018, đối với chuyển tiền cho mục đích trợ cấp thân nhân, khách hàng không xuất trình được giấy tờ chứng minh mức sống tối thiểu của thân nhân thì được phép chuyển tiền mức nào sau đây?",A. 14000 USD/năm.,B. 12000 USD/năm.,C. 5000 USD/năm.,D. 7000 USD/năm.,3
1705,"Theo Quyết định 1612/QĐ-NHNo-TTKH ngày 30/7/2018, đối với mục đích chuyển tiền thanh toán các loại phí, lệ phí ở nước ngoài, hạn mức chuyển tiền là bao nhiêu?",A. 5.000 USD/năm.,C. Theo đề nghị của khách hàng.,B. Theo bảng kê chi phí của khách hàng.,D. Theo thông báo chi phí của nước ngoài.,4
1706,"Theo Quyết định 1612/QĐ-NHNo-TTKH ngày 30/7/2018, đối với mục đích chuyển tiền thanh toán cho mục đích công tác, du lịch, thăm viếng ở nước ngoài, khách hàng không cần cung cấp giấy tờ nào sau đây?",A. Giấy tờ tùy thân người chuyển.,B. Quyết định cử đi công tác (đối với trường hợp cử cán bộ đi công tác).,C. Bản sao vé máy bay/tàu hỏa/ các phương tiện di chuyển khác.,D. Giấy cam kết chuyển tiền hợp pháp.,4
1707,"Theo Quyết định 1612/QĐ-NHNo-TTKH ngày 30/7/2018, mục đích nào sau đây phải có bản gốc giấy cam kết chuyển tiền hợp pháp?",A. Chuyển tiền thanh toán chi phí có liên quan đến học tập ở nước ngoài.,B. Chuyển tiền cho mục đích định cư ở nước ngoài.,C. Chuyển tiền cho người hưởng thừa kế ở nước ngoài.,D. Chuyển tiền trợ cấp cho thân nhân đang ở nước ngoài.,2
1708,"Theo Quyết định 177/QĐ-NHNo-TD đối với tài sản bảo đảm của Hộ gia đình, cá nhân sử dụng đất được cơ quan nhà nước có thẩm quyền cho phép chuyển mục đích sử dụng đất từ đất không thu tiền sử dụng đất sang đất có thu tiền sử dụng đất hoặc cho thuê đất mà có thu tiền sử dụng đất, trả tiền thuê đất một lần cho cả thời gian thuê thì:",A. Được thế chấp tài sản gắn liền với đất.,B. Được thế chấp QSD đất.,C. Cả a và b.,D. Không được thế chấp.,3
1709,"Theo Quyết định 2303/QĐ-NHNo-ĐCTC, Chi nhánh loại I được phép thực hiện giao dịch nào trong các giao dịch mua, bán ngoại tệ dưới đây với các tổ chức tín dụng?",A. Mua bán ngoại tệ giao ngay giữa VND và USD.,B. Mua bán ngoại tệ giữa VND và EUR.,C. Mua bán ngoại tệ giữa VND và GBP.,D. Không có đáp án đúng.,4
1710,"Theo Quyết định 2303/QĐ-NHNo-ĐCTC, Giao dịch mua, bán ngoại tệ bao gồm các giao dịch nào sau đây?","A. Giao dịch mua, bán ngoại tệ giao ngay","B. Giao dịch mua, bán ngoại tệ kỳ hạn",C. Giao dịch hoán đổi ngoại tệ,D. Cả 3 đáp án trên,4
1711,"Theo Quyết định 2303/QĐ-NHNo-ĐCTC, Phòng giao dịch được phép trực tiếp thực hiện giao dịch nào sau đây?",A. Mua USD giao ngay với Tổ chức tín dụng khác,"B. Mua USD giao ngay với người cư trú là tổ chức kinh tế, tổ chức khác và cá nhân","C. Bán USD kỳ hạn với người cư trú là tổ chức kinh tế, tổ chức khác và cá nhân","D. Bán USD kỳ hạn với người không cư trú là tổ chức kinh tế, tổ chức khác và cá nhân",2
1712,"Theo Quyết định 5206/QĐ-NHNo-TTTT ngày 30/12/2016, trường hợp Lệnh chuyển đến nào sau đây được hạch toán vào tài khoản phải thu?",A. Lệnh chuyển Có cho cá nhân nhận bằng Chứng minh thư (hoặc giấy tờ tùy thân khác).,"B. B. Lệnh chuyển Có có thông tin người hưởng chưa rõ ràng, cần xác thực.",C. C. Lệnh chuyển Có có thông tin về tên và số tài khoản khớp đúng với hồ sơ đăng ký trên IPCAS.,D. Lệnh chuyển Nợ.,4
1713,"Theo Quyết định 5206/QĐ-NHNo-TTTT ngày 30/12/2016, trường hợp Lệnh chuyển đến nào sau đây được hạch toán vào tài khoản phải trả?",A. Lệnh chuyển Có có thông tin về tên và số tài khoản khớp đúng với hồ sơ đăng ký trên IPCAS.,"B. Lệnh chuyển Có có thông tin người thụ hưởng chưa rõ ràng, cần xác thực; cho cá nhân nhận tiền bằng chứng minh thư (hoặc giấy tờ tùy thân khác theo quy định).",C. Lệnh chuyển Nợ.,D. Không có trường hợp nào.,2
1714,"Theo Quyết định 838/QĐ-HĐTV-TD thì một tài sản có thể được dùng để bảo đảm thực hiện nhiều nghĩa vụ đối với Agribank hoặc bảo đảm thực hiện nhiều nghĩa vụ đối với Agribank và các bên nhận bảo đảm khác, nếu:",A. Giá trị tài sản đó tại thời điểm xác lập giao dịch bảo đảm nhỏ hơn tổng giá trị các nghĩa vụ được bảo đảm.,B. Giá trị tài sản đó tại thời điểm xác lập giao dịch bảo đảm bằng tổng giá trị các nghĩa vụ được bảo đảm.,C. Giá trị tài sản đó tại thời điểm xác lập giao dịch bảo đảm lớn hơn tổng giá trị các nghĩa vụ được bảo đảm,D. Cả 3 phương án trên,3
1715,"Theo Quyết dịnh số 2209/QĐ-NHNo-KHNV ngày 18/10/2019 của Agribank, đồng tiền chi trả tiền gửi tiết kiệm là loại nào?",VND và USD,Người gửi tiền gửi tiết kiệm bằng đồng tiền nào thì được chi trả tiền gửi tiết kiệm (gốc và lãi) bằng đồng tiền đó,Người gửi tiền gửi tiết kiệm bằng ngoại tệ được rút ra bằng đồng Việt Nam.,Theo yêu cầu của người gửi tiền,2
1716,"Theo Quyết định số 2209/QĐ-NHNo-KHNV ngày 18/10/2019 của Agribank, người gửi tiền phải trực tiếp giao dịch với Agribank, không được ủy quyền cho người khác thực hiện những giao dịch nào?",Chuyền quyền sở hữu Thẻ tiết kiệm,Sử dụng TGTK làm tài sản bảo đàm,"Cấp lại Thẻ tiết kiệm bị mất, bị hỏng",Tất cả những giao dịch trên,4
1717,"Theo Quyết dịnh số 2209/QĐ-NHNo-KHNV ngày 18/10/2019 của Agribank, trường hợp người gửi tiền chì cần có ít nhất một trong các đặc điểm: không đọc được, không nhìn được, không ký và không điềm chi được thi phải có bao nhiêu người làm chứng khi gừi tiền gửi tiết kiệm?",01 người,02 người,03 người,04 người,2
1718,"Theo quyết định số 225/QĐ-HĐTV-TD ngày 09/4/2019 của HĐTV, Agribank khởi kiện, tố cáo hành vi vi phạm của khách hàng trước pháp luật trong trường hợp nào sau đây?",A. Khách hàng có nợ quá hạn do nguyên nhân chủ quan nhưng không có biện pháp khả thi để trả nợ ngân hàng.,B. Khách hàng cố tình trốn tránh nghĩa vụ trả nợ.,"C. Khách hàng có hành vi lừa đảo, gian lận.","D. Cả A, B và C.",4
1719,"Theo Quyết định số 2303/QĐ-NHNo-ĐCTC và các quy định hiện hành của Agribank, Phòng giao dịch không được trực tiếp thực hiện (trực tiếp hạch toán mua bán) giao dịch nào với Khách hàng là người cư trú là tổ chức kinh tế trong các giao dịch mua, bán ngoại tệ dưới đây?",A. Mua ngoại tệ giao ngay từ Khách hàng,B. Mua ngoại tệ kỳ hạn từ Khách hàng,C. Bán ngoại tệ kỳ hạn cho Khách hàng,D. Không có đáp án nào đúng,3
